이름,가격,면적 및 층수,센터명칭,공급면적,전용면적,현재층,총층,공급종류,보증금,월세,매매가
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R,272,137,6,10,월세,"1,600",160.0,
지식산업센터,500/45,"86/42m², 10/10층",우성테크노파크Ⅰ,86,42,10,10,월세,500,45.0,
지식산업센터,500/35,"79/40m², B1/10층",옥길지식산업센터,79,40,B1,10,월세,500,35.0,
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,"1,700/170","307/138m², 3/10층",광양프런티어밸리7차지식산업센터,307,138,3,10,월세,"1,700",170.0,
지식산업센터,500/50,"105/52m², 9/10층",광양프런티어밸리5차지식산업센터,105,52,9,10,월세,500,50.0,
지식산업센터,600/60,"121/60m², 8/10층",광양프런티어밸리5차지식산업센터,121,60,8,10,월세,600,60.0,
지식산업센터,"1,200/120","216/108m², 7/10층",광양프런티어밸리5차지식산업센터,216,108,7,10,월세,"1,200",120.0,
지식산업센터,"1,000/77","127/62m², 8/10층",골든IT타워,127,62,8,10,월세,"1,000",77.0,
지식산업센터,500/45,"61/30m², 7/10층",더플랫폼R,61,30,7,10,월세,500,45.0,
지식산업센터,"1억 5,000","89/43m², 7/10층",우성테크노파크Ⅰ,89,43,7,10,매매,,,"1억 5,000"
지식산업센터,"3억 2,000","169/85m², 5/10층",부천옥길서영아너시티2,169,85,5,10,매매,,,"3억 2,000"
지식산업센터,"1억 5,500","86/42m², 6/10층",우성테크노파크Ⅰ,86,42,6,10,매매,,,"1억 5,500"
지식산업센터,500/45,"84/42m², 3/10층",부천옥길서영아너시티2,84,42,3,10,월세,500,45.0,
지식산업센터,300/50,"81/39m², 4/10층",우성테크노파크Ⅰ,81,39,4,10,월세,300,50.0,
지식산업센터,200/20,"30/17m², B2/10층",더플랫폼R,30,17,B2,10,월세,200,20.0,
지식산업센터,500/40,"66/32m², 4/10층",골든IT타워,66,32,4,10,월세,500,40.0,
지식산업센터,500/40,"81/41m², 5/10층",더플랫폼R,81,41,5,10,월세,500,40.0,
지식산업센터,500/35,"76/38m², 8/10층",광양프런티어밸리5차지식산업센터,76,38,8,10,월세,500,35.0,
지식산업센터,500/45,"69/34m², 4/10층",우성테크노파크Ⅰ,69,34,4,10,월세,500,45.0,
지식산업센터,"1억 8,000","81/41m², 3/10층",더플랫폼R,81,41,3,10,매매,,,"1억 8,000"
지식산업센터,500/45,"68/34m², 7/10층",부천옥길서영아너시티2,68,34,7,10,월세,500,45.0,
지식산업센터,500/43,"80/39m², 4/10층",골든IT타워,80,39,4,10,월세,500,43.0,
지식산업센터,"1,000/50","262/136m², 3/10층",부천옥길서영아너시티2,262,136,3,10,월세,"1,000",50.0,
지식산업센터,"1,000/90","169/83m², 6/10층",우성테크노파크Ⅰ,169,83,6,10,월세,"1,000",90.0,
지식산업센터,"2,000/160","184/92m², 3/10층",더플랫폼R,184,92,3,10,월세,"2,000",160.0,
지식산업센터,"1,000/70","200/100m², B2/10층",광양프런티어밸리5차지식산업센터,200,100,B2,10,월세,"1,000",70.0,
지식산업센터,500/50,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,50.0,
지식산업센터,"1억 5,000","84/42m², 5/10층",부천옥길서영아너시티2,84,42,5,10,매매,,,"1억 5,000"
지식산업센터,"2,000/130","189/94m², 4/10층",광양프런티어밸리5차지식산업센터,189,94,4,10,월세,"2,000",130.0,
지식산업센터,500/45,"84/42m², 8/10층",부천옥길서영아너시티2,84,42,8,10,월세,500,45.0,
지식산업센터,500/40,"98/49m², 8/10층",광양프런티어밸리5차지식산업센터,98,49,8,10,월세,500,40.0,
지식산업센터,500/45,"57/34m², 9/10층",부천옥길서영아너시티2,57,34,9,10,월세,500,45.0,
지식산업센터,500/45,"84/42m², 3/10층",부천옥길서영아너시티2,84,42,3,10,월세,500,45.0,
지식산업센터,500/45,"61/30m², 4/10층",더플랫폼R,61,30,4,10,월세,500,45.0,
지식산업센터,500/45,"61/30m², 5/10층",더플랫폼R,61,30,5,10,월세,500,45.0,
지식산업센터,"1,000/90","189/94m², B2/10층",광양프런티어밸리5차지식산업센터,189,94,B2,10,월세,"1,000",90.0,
지식산업센터,500/40,"73/36m², 5/10층",더플랫폼R,73,36,5,10,월세,500,40.0,
지식산업센터,500/50,"95/47m², 9/10층",광양프런티어밸리5차지식산업센터,95,47,9,10,월세,500,50.0,
지식산업센터,"1,600/160","272/137m², 6/10층",더플랫폼R,272,137,6,10,월세,"1,600",160.0,
지식산업센터,500/35,"57/28m², 9/10층",광양프런티어밸리5차지식산업센터,57,28,9,10,월세,500,35.0,
지식산업센터,"1,000/100","128/64m², 3/10층",더플랫폼R,128,64,3,10,월세,"1,000",100.0,
지식산업센터,500/45,"81/41m², 4/10층",더플랫폼R,81,41,4,10,월세,500,45.0,
지식산업센터,4억,"216/97m², 10/10층",광양프런티어밸리7차지식산업센터,216,97,10,10,매매,,,4억
